wl_depth,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion,max_stress
20.0,3.019910800112875,12.52665065524723,0.09799426378112155,214.32398805337166,2.348686707942114,1.0441392560231426,1.8599166507150498e-05
40.0,4.936064891620509,17.733697194947162,0.18495306632817224,292.78672528232323,2.216905255158547,0.9112813260447419,7.439666602860192e-05
60.0,6.423615768887544,21.726471592257397,0.2678134159857951,348.5489056305632,2.124118411149053,0.8622983858021528,0.00016739249856435407
80.0,7.674610126785899,25.077861043055584,0.3486259372913788,392.70935619510783,2.048271253456259,0.8278622717078072,0.0002975866641144083
100.0,8.77341996847563,28.013509065209632,0.42808706789485784,429.51850958174253,1.9823806115934266,0.8008559684481101,0.00046497916267876273
120.0,17.333616718579204,47.51948236625901,0.5049404808621839,586.5975837648716,1.933745293506826,0.8489175707757324,0.0008381275616775774
140.0,21.72131810302893,59.406882859981465,0.6182278391355791,629.5672105374376,2.048165521698546,0.9255134793431908,0.0013204131931815388
160.0,24.95890410118647,69.04208576449811,0.7371844964112353,668.6855551191696,2.034025066630599,0.9569619973578355,0.0019118360571906525
180.0,27.873706905361324,77.87167445929765,0.8579010940414813,710.206620883864,1.9497235271717483,0.9617608612441731,0.0026123961537049085
200.0,30.684640304012273,86.22136672229266,0.979419584853577,753.1257338780773,1.8395576468283519,0.9520977473640799,0.003422093482724313
220.0,33.41770239109307,94.05761349815089,1.101374423161039,795.9578072566392,1.7272228102659237,0.9368574060209842,0.00434092804424887
240.0,36.055674754810696,101.46659092815861,1.223587661922228,837.7312478991306,1.7916736265305904,0.9195920678055461,0.005368899838278576
260.0,38.5835504330261,108.40195118514035,1.3459602560975075,877.9419956116791,1.8499382083202576,0.9026393114233341,0.006506008864813428
280.0,39.73222867354531,113.15783532045585,1.4602767405193617,898.493713565915,1.907861096496782,0.8922422988476288,0.007617500962672115
300.0,39.8889736079846,116.00726770373811,1.565903160209338,905.1797977329535,1.9623319818079241,0.8899022414474287,0.008672854609716663
320.0,47.1126665965132,128.96782905714176,1.6934137572956787,1021.7210853827621,1.8326016115931651,0.8120531052336178,0.010414694540289624
340.0,52.1369251555998,140.0619821192286,1.8286087068388226,1092.0254101866076,1.8291944532501656,0.7964771947404468,0.012315818892428844
360.0,56.2675795557882,150.00014584663342,1.96764232085792,1143.9358090195146,1.8486348723818082,0.7968779776100389,0.014376227666134375
380.0,59.874396101060874,159.1099940490301,2.1089059337973586,1186.4370376166567,1.8703582095201425,0.7998389943738161,0.016595920861406162
400.0,63.121348298761134,167.5447133322464,2.251593272585514,1223.49425985009,1.8885031644227372,0.8018329104507771,0.01897489847824428
420.0,66.10259933712096,175.55899843553976,2.395250233196787,1257.142222967647,1.9013896031537938,0.8044877494718624,0.021513160516648644
440.0,68.87247721058041,183.0850662003313,2.5395980126415556,1288.517702465365,1.9088233523209144,0.8066529634999312,0.024210706976619298
460.0,71.47254659149817,190.32687321828627,2.6844535756004904,1318.2894303736298,1.9111891624619282,0.8080439216305013,0.027067537858156243
480.0,73.9301538373021,197.23254437171528,2.829690198767073,1346.8639421122366,1.909087610716747,0.8086668326521861,0.030083653161259473
